# x_m,y_m,w_tr_right_m,w_tr_left_m
142.593023,-52.841997400000004,7.68,7.62
142.5704082,-53.841205800000004,7.681,7.619
142.5477726,-54.8404146,7.682,7.618
142.52511460000002,-55.83962400000001,7.682,7.618
142.502433,-56.8388338,7.683,7.617
142.479726,-57.838044200000006,7.684,7.616
142.4569924,-58.83725520000001,7.684,7.616
142.4342308,-59.83646680000001,7.685,7.615
142.4114394,-60.835679000000006,7.686,7.614
142.3886168,-61.834892,7.686,7.614
142.3657616,-62.8341054,7.687,7.613
142.3428724,-63.833319800000005,7.688,7.612
142.3199476,-64.8325348,7.689,7.611
142.2969858,-65.8317504,7.689,7.611
142.2739856,-66.830967,7.69,7.61
142.25094520000002,-67.8301842,7.691,7.609
142.2278636,-68.8294024,7.691,7.609
142.204739,-69.8286214,7.692,7.608
142.18157000000002,-70.82784120000001,7.693,7.607
142.158355,-71.827062,7.694,7.606
142.13509280000002,-72.8262836,7.694,7.606
142.1117818,-73.82550619999999,7.695,7.605
142.0884206,-74.8247298,7.696,7.604
142.06500739999998,-75.82395460000001,7.696,7.604
142.04154100000002,-76.82318020000001,7.697,7.603
142.01802,-77.82240680000001,7.698,7.602
141.9944428,-78.82163460000001,7.698,7.602
141.970808,-79.8208636,7.699,7.601
141.9471138,-80.8200936,7.7,7.6
141.92335920000002,-81.8193248,7.701,7.599
141.8995426,-82.8185572,7.701,7.599
141.8756624,-83.81779080000001,7.702,7.598
141.8517232,-84.8170254,7.703,7.597
141.82773360000002,-85.8162614,7.703,7.597
141.8037034,-86.81549820000001,7.704,7.596
141.7796418,-87.81473580000001,7.705,7.595
141.7555582,-88.8139742,7.706,7.594
141.73146240000003,-89.8132134,7.706,7.594
141.70736340000002,-90.81245320000001,7.707,7.593
141.6832708,-91.81169340000001,7.708,7.592
141.6591938,-92.810934,7.708,7.592
141.6351422,-93.81017480000001,7.709,7.591
141.6111252,-94.809416,7.71,7.59
141.5871522,-95.80865720000001,7.71,7.59
141.5632326,-96.8078984,7.711,7.589
141.5393758,-97.80713960000001,7.712,7.588
141.5155914,-98.80638040000001,7.713,7.587
141.4918886,-99.8056212,7.713,7.587
141.468277,-100.80486140000001,7.714,7.586
141.44476600000002,-101.8041012,7.715,7.585
141.4213648,-102.80334040000001,7.715,7.585
141.398083,-103.80257879999999,7.716,7.584
141.37493,-104.80181660000001,7.717,7.583
141.3519152,-105.8010534,7.717,7.583
141.329048,-106.8002894,7.718,7.582
141.30633780000002,-107.79952420000001,7.719,7.581
141.28379420000002,-108.7987578,7.72,7.58
141.2614264,-109.79799020000002,7.72,7.58
141.23924380000003,-110.7972212,7.712,7.588
141.217256,-111.7964508,7.7,7.6
141.1954722,-112.7956788,7.687,7.613
141.173902,-113.7949052,7.675,7.625
141.15255480000002,-114.79412980000001,7.663,7.637
141.13144,-115.7933526,7.651,7.649
141.1105668,-116.7925734,7.638,7.662
141.089945,-117.79179200000002,7.626,7.674
141.0695838,-118.79100880000001,7.614,7.686
141.0494926,-119.7902232,7.602,7.698
141.02968080000002,-120.78943520000001,7.59,7.71
141.01015800000002,-121.7886448,7.577,7.723
140.9909334,-122.787852,7.565,7.735
140.97201660000002,-123.78705640000001,7.553,7.747
140.95341679999999,-124.7862582,7.541,7.759
